rgn_id,habitat,km2,reference
1,reef,238.55,Lecky 2017
2,reef,461.29,Lecky 2017
3,reef,374.17,Lecky 2017
4,reef,347.26,Lecky 2017
1,soft-bottom,16.95,Lecky 2017
2,soft-bottom,156.21,Lecky 2017
3,soft-bottom,92.82,Lecky 2017
4,soft-bottom,55.96,Lecky 2017
1,beach,55.92,"ESI (classes 3,4,5), units in km not km2"
2,beach,144.09,"ESI (classes 3,4,5), units in km not km2"
3,beach,140.77,"ESI (classes 3,4,5), units in km not km2"
4,beach,133.64,"ESI (classes 3,4,5), units in km not km2"
1,wetland,0.1648569,NOAA CCAP
2,wetland,11.8726214,NOAA CCAP
3,wetland,6.7447414,NOAA CCAP
4,wetland,3.8062138,NOAA CCAP
